Accident ID (FK),Day of the Week,Accident Date,Accident Time,Accident Street Name,Direction from Intersecting Road,GEO-X,GEO-Y,Police Beat
19002236,Thu,03/21/2019,740,RIDGE,,0,0,
19002255,Thu,03/21/2019,1630,DEMPSTER,,0,0,
19002238,Thu,03/21/2019,940,FOWLER AV,,0,0,
19002251,Thu,03/21/2019,1544,JUDSON AVE,,0,0,
19002237,Thu,03/21/2019,749,CRAIN,,0,0,
19002235,Thu,03/21/2019,702,RIDGE AV,,0,0,
19002200,Tue,03/19/2019,1552,EMERSON/DARROW,,0,0,
19002199,Tue,03/19/2019,1544,LIBRARY PL,,0,0,
19002192,Tue,03/19/2019,1308,MAIN ST,,0,0,
19002163,Mon,03/18/2019,830,DEMPSTER ST,E,0,0,
19002140,Sun,03/17/2019,330,ASBURY AV,,0,0,
19002147,Sun,03/17/2019,1627,HOWARD,,0,0,
19002117,Sat,03/16/2019,1805,HOWARD,,0,0,
19002197,Sat,03/16/2019,1000,HOWARD ST,,0,0,
19002131,Sat,03/16/2019,2336,CALLAN AV,,0,0,
19002126,Sat,03/16/2019,2117,DEMPSTER,,0,0,
19002125,Sat,03/16/2019,2123,GROVE/MAPLE,,0,0,
19002124,Sat,03/16/2019,2051,CENTRAL ST,,0,0,
19002119,Sat,03/16/2019,1756,MAIN ST,E,0,0,
19002115,Sat,03/16/2019,1629,GREEN BAY RD,,0,0,
19002088,Fri,03/15/2019,1712,CENTRAL,,0,0,
19002194,Fri,03/15/2019,1600,PAYNE,,0,0,
19002089,Fri,03/15/2019,1515,SHERMAN,,0,0,
19002073,Fri,03/15/2019,1053,EWING AV,,0,0,
19002092,Thu,03/14/2019,1545,MAPLE AV,,0,0,
19002062,Thu,03/14/2019,1903,MULFORD ST,,0,0,
19002060,Thu,03/14/2019,1715,ASBURY AV,,0,0,
19002058,Thu,03/14/2019,1656,LAKE ST,,0,0,
19002055,Thu,03/14/2019,1619,MAIN ST,,0,0,
19002051,Thu,03/14/2019,1329,CALLAN AV,N,0,0,
19002045,Thu,03/14/2019,915,CHICAGO AV,N,0,0,
19002044,Thu,03/14/2019,857,HOWARD ST,E,0,0,
19002030,Wed,03/13/2019,1637,HOWARD ST,,0,0,
19002020,Wed,03/13/2019,214,ASBURY,,0,0,
19001997,Tue,03/12/2019,824,ISABELLA STREET,E,0,0,
19002028,Tue,03/12/2019,1130,RIDGE AV,,0,0,
19002005,Tue,03/12/2019,1340,HOWARD ST,E,0,0,
19001994,Tue,03/12/2019,819,EMERSON,,0,0,
19002013,Tue,03/12/2019,1700,DODGE AV,S,0,0,
19001973,Mon,03/11/2019,1505,RIDGE AV,N,0,0,
19001978,Mon,03/11/2019,1555,RIDGE,,0,0,
19001946,Sun,03/10/2019,1055,KEDZIE ST,,0,0,
19001962,Sun,03/10/2019,1940,MAIN,,0,0,
19001930,Sat,03/09/2019,1738,HOWARD ST,,0,0,
19001935,Sat,03/09/2019,2017,MAIN,S,0,0,
19001931,Sat,03/09/2019,1822,HOWARD,,0,0,
19001888,Fri,03/08/2019,1446,MAIN ST,,0,0,
19001887,Fri,03/08/2019,1318,DEMPSTER ST,,0,0,
19001877,Fri,03/08/2019,350,CENTRAL,,0,0,
19001899,Fri,03/08/2019,1808,DODGE AV,,0,0,
19001901,Fri,03/08/2019,1837,GREENWOOD ST,,0,0,
19001908,Fri,03/08/2019,2048,ORRINGTON,,0,0,76
19001920,Fri,03/08/2019,1200,DODGE ST,,0,0,
19001894,Fri,03/08/2019,1632,SHERMAN,,0,0,
19001889,Fri,03/08/2019,1453,MAIN ST,,0,0,
19001859,Thu,03/07/2019,1535,EMERSON ST,,0,0,
19001868,Thu,03/07/2019,1830,NOYES ST,,0,0,
19001865,Thu,03/07/2019,1455,DODGE AV,,0,0,
19001835,Thu,03/07/2019,1452,SHERIDAN RD,,0,0,
19001822,Thu,03/07/2019,1159,ORRINGTON AV,,0,0,
19001814,Thu,03/07/2019,916,SIMPSON ST,,0,0,
19001811,Thu,03/07/2019,752,GREEN BAY RD,,0,0,
19001823,Wed,03/06/2019,1800,RIDGE AV,N,0,0,
19001806,Wed,03/06/2019,2037,MAIN,,0,0,
19001802,Wed,03/06/2019,1939,MAIN,,0,0,
19001801,Wed,03/06/2019,1630,CHICAGO,,0,0,
19001788,Wed,03/06/2019,912,DEMPSTER ST,,0,0,
19001757,Tue,03/05/2019,914,ASBURY AV,,0,0,
19001756,Tue,03/05/2019,935,NOYES,,0,0,
19001753,Tue,03/05/2019,718,HAMPTON PKWY,,0,0,
19001776,Tue,03/05/2019,1708,LAKE ST,,0,0,
19001774,Tue,03/05/2019,1600,DEMPSTER,,0,0,
19001771,Tue,03/05/2019,1430,DEMPSTER ST,W,0,0,
19001759,Tue,03/05/2019,931,MAPLE AV,,0,0,
19001758,Tue,03/05/2019,920,LAKE ST,,0,0,
19001775,Tue,03/05/2019,1627,CHICAGO AVE,,0,0,
19001721,Mon,03/04/2019,854,MONTICELLO PL,,0,0,
19001720,Mon,03/04/2019,843,DODGE AV,,0,0,
19001724,Mon,03/04/2019,913,101 ASBURY AV,,0,0,
19001729,Mon,03/04/2019,1307,RIDGE,,0,0,
19001735,Mon,03/04/2019,1435,DODGE,,0,0,
19001737,Mon,03/04/2019,1505,DEMPSTER ST,,0,0,
19001723,Mon,03/04/2019,929,DAVIS,,0,0,
19001715,Sun,03/03/2019,2241,SEWARD STREET,,0,0,
19001741,Sun,03/03/2019,1345,DODGE,,0,0,
19001703,Sun,03/03/2019,1253,SHERMAN,,0,0,
19001708,Sun,03/03/2019,1500,CENTRAL ST,,0,0,
19001679,Sat,03/02/2019,10,DEMPSTER ST,,0,0,
19001655,Fri,03/01/2019,1827,SHERMAN,,0,0,
19001638,Fri,03/01/2019,820,FOSTER ST,,0,0,
19001947,Fri,03/01/2019,1200,ISABELLA ST,,0,0,
19001674,Fri,03/01/2019,2340,SHERIDAN RD,N,0,0,
19001613,Thu,02/28/2019,1104,CUSTER AV,,0,0,
19001608,Thu,02/28/2019,826,ASBURY AV,S,0,0,
19001612,Thu,02/28/2019,1010,SHERMAN,,0,0,
19001993,Thu,02/28/2019,1340,HOWARD,,0,0,
19001615,Thu,02/28/2019,1152,DAVIS ST,,0,0,
19001645,Thu,02/28/2019,0,MAPLE AV,,0,0,
19001623,Thu,02/28/2019,1651,ASBURY AV,,0,0,
19001628,Thu,02/28/2019,1803,HOWARD,,0,0,
19001634,Thu,02/28/2019,2053,DODGE AV,,0,0,
19001614,Thu,02/28/2019,1111,BENSON AV,,0,0,
19001591,Wed,02/27/2019,1530,OAKTON,,0,0,
19001573,Tue,02/26/2019,2033,RIDGE AV,,0,0,
19001571,Tue,02/26/2019,1908,SHERMAN,,0,0,
19001540,Tue,02/26/2019,745,EMERSON,E,0,0,
19001561,Tue,02/26/2019,1512,GROSS POINT,,0,0,
19001519,Mon,02/25/2019,901,SEWARD ST,,0,0,
19001520,Mon,02/25/2019,920,GREENWOOD,,0,0,
19001523,Mon,02/25/2019,1141,HINMAN AV,,0,0,
19001532,Mon,02/25/2019,1345,BENSON AV,,0,0,
19001546,Mon,02/25/2019,1900,CRAIN,,0,0,
19001501,Sun,02/24/2019,1625,CHICAGO AV,,0,0,
19001502,Sun,02/24/2019,1535,BENSON AV,,0,0,
19001495,Sun,02/24/2019,1029,RIDGE,,0,0,
19001478,Sat,02/23/2019,1425,KEENEY ST,,0,0,
19001488,Sat,02/23/2019,1855,GREEN BAY RD,,0,0,
19001487,Sat,02/23/2019,1831,CHICAGO AV,,0,0,
19001485,Sat,02/23/2019,1753,OAKTON,,0,0,
19001484,Sat,02/23/2019,1720,CENTRAL,,0,0,
19001476,Sat,02/23/2019,1248,DAVIS ST,,0,0,
19001474,Sat,02/23/2019,1146,DAVIS ST,,0,0,
19001559,Sat,02/23/2019,2130,MAIN ST,,0,0,
19001435,Fri,02/22/2019,803,DODGE,,0,0,
19001433,Fri,02/22/2019,703,MADISON ST,,0,0,
19001460,Fri,02/22/2019,1933,LINCOLN,,0,0,
19001459,Fri,02/22/2019,1816,DEMPSTER ST,,0,0,
19001458,Fri,02/22/2019,1802,FOSTER,,0,0,
19001467,Fri,02/22/2019,2309,JUDSON,,0,0,
19001453,Fri,02/22/2019,1637,CHURCH ST,,0,0,
19001452,Fri,02/22/2019,1530,DODGE AV,,0,0,
19001388,Thu,02/21/2019,24,MONROE,,0,0,
19001443,Thu,02/21/2019,1200,635 CHICAGO AV,,0,0,
19001430,Thu,02/21/2019,2239,EMERSON ST,,0,0,
19001423,Thu,02/21/2019,1857,RIDGE,,0,0,
19001421,Thu,02/21/2019,1817,RIDGE AV,,0,0,
19001420,Thu,02/21/2019,1801,CENTRAL,,0,0,
19001419,Thu,02/21/2019,1707,CRAIN ST,,0,0,
19001403,Thu,02/21/2019,1227,ELGIN RD,,0,0,
19001400,Thu,02/21/2019,1038,MAIN ST,,0,0,
19001444,Thu,02/21/2019,1330,2400 MAIN ST,,0,0,
19001345,Wed,02/20/2019,743,CHICAGO AVE,,0,0,
19001369,Wed,02/20/2019,1845,CHICAGO AV,,0,0,
19001366,Wed,02/20/2019,1909,CHURCH ST,,0,0,
19001359,Wed,02/20/2019,1515,SHERMAN,,0,0,
19001352,Wed,02/20/2019,1140,CUSTER,,0,0,
19001349,Wed,02/20/2019,846,SHERIDAN RD,,0,0,
19001346,Wed,02/20/2019,726,SHERIDAN RD,E,0,0,
19001374,Wed,02/20/2019,2305,FOREST,,0,0,
19001338,Tue,02/19/2019,2000,EMERSON ST,,0,0,
19001335,Tue,02/19/2019,1740,OAKTON,,0,0,
19001334,Tue,02/19/2019,1700,SHERIDAN RD,N,0,0,
19001330,Tue,02/19/2019,1558,OAKTON ST,,0,0,
19001327,Tue,02/19/2019,1420,GREENLEAF,,0,0,
19001323,Tue,02/19/2019,1100,141 CALLAN AV,N,0,0,
19001291,Mon,02/18/2019,39,NOYES ST,,0,0,
19001304,Mon,02/18/2019,1614,RIDGE AV,,0,0,
19001306,Mon,02/18/2019,1731,MAIN ST,,0,0,
19001310,Mon,02/18/2019,1845,CHICAGO AV,,0,0,
19001314,Mon,02/18/2019,2146,MAIN,,0,0,
19001285,Sun,02/17/2019,1821,DAVIS ST,,0,0,
19001264,Sun,02/17/2019,100,RIDGE AV,,0,0,
19001267,Sun,02/17/2019,327,JUDSON AV,,0,0,
19001272,Sun,02/17/2019,927,MAPLE AV,,0,0,
19001287,Sun,02/17/2019,2011,FOWLER AV,,0,0,
19001258,Sat,02/16/2019,2058,ASBURY AV,,0,0,
19001253,Sat,02/16/2019,1502,SHERMAN AV,,0,0,
19001251,Sat,02/16/2019,1312,MAIN ST,,0,0,
19001249,Sat,02/16/2019,1223,CHURCH ST,,0,0,
19001227,Fri,02/15/2019,1720,CHICAGO AV,N,0,0,
19001230,Fri,02/15/2019,1745,DODGE AV,,0,0,
19001211,Fri,02/15/2019,857,ELGIN RD,,0,0,
19001222,Fri,02/15/2019,1452,ASBURY,,0,0,
19001213,Fri,02/15/2019,1035,RIDGE AV,,0,0,
19001190,Thu,02/14/2019,1550,CHURCH,,0,0,
19001195,Thu,02/14/2019,1730,CUSTER AV,,0,0,
19001196,Thu,02/14/2019,1753,HARTREY AV,N,0,0,
19001200,Thu,02/14/2019,1928,DEMPSTER ST,W,0,0,
19001256,Thu,02/14/2019,1805,EMERSON ST,,0,0,
19001177,Wed,02/13/2019,1950,DAVIS ST,,0,0,
19001157,Wed,02/13/2019,1100,DEMPSTER ST,E,0,0,
19001171,Wed,02/13/2019,1620,GROVE ST,,0,0,
19001156,Wed,02/13/2019,805,HARTREY AV,N,0,0,
19001152,Tue,02/12/2019,2035,RIDGE,,0,0,
19001143,Tue,02/12/2019,1647,ASHLAND,,0,0,
19001140,Tue,02/12/2019,1611,SHERMAN,,0,0,
19001135,Tue,02/12/2019,1205,EMERSON ST,W,0,0,
19001125,Tue,02/12/2019,838,ISABELLA ST,,0,0,
19001130,Tue,02/12/2019,1017,OAKTON ST,,0,0,
19001146,Tue,02/12/2019,1200,SOUTH BL,,0,0,
19001145,Tue,02/12/2019,1725,GREEN BAY RD,,0,0,
19001104,Mon,02/11/2019,1348,DEMPSTER,,0,0,
19001117,Mon,02/11/2019,1805,MAIN,,0,0,
19001103,Mon,02/11/2019,1329,NOYES ST,,0,0,
19001102,Mon,02/11/2019,1200,MAIN ST,,0,0,
19001098,Mon,02/11/2019,1136,DEMPSTER,,0,0,
19001067,Sun,02/10/2019,1044,WASHINGTON,,0,0,
19001085,Sun,02/10/2019,1911,EMERSON ST,,0,0,
19001081,Sun,02/10/2019,1710,HARTREY AV,,0,0,
19001068,Sat,02/09/2019,1800,PAYNE ST,W,0,0,
19001056,Sat,02/09/2019,1805,ORRINGTON,,0,0,
19001045,Sat,02/09/2019,1153,CHICAGO AVE,,0,0,
19001009,Fri,02/08/2019,1045,ORRINGTON AV,,0,0,
19001026,Fri,02/08/2019,1807,MAPLE AV,,0,0,
19001021,Fri,02/08/2019,1713,DODGE,,0,0,
19001020,Fri,02/08/2019,1636,GREENLEAF ST,,0,0,
19001037,Fri,02/08/2019,2345,RIDGE AV,,0,0,
19001011,Fri,02/08/2019,1311,CHURCH ST,,0,0,
19001013,Fri,02/08/2019,1428,CENTRAL,,0,0,
19001016,Fri,02/08/2019,1541,ORRINGTON,,0,0,
19001048,Fri,02/08/2019,2000,DODGE AV,,0,0,
19001027,Fri,02/08/2019,1818,MAIN,,0,0,
19001093,Fri,02/08/2019,1500,RIDGE AV,,0,0,
19000978,Thu,02/07/2019,859,LINCOLN ST,,0,0,
19000982,Thu,02/07/2019,1110,SIMPSON ST,,0,0,
19000993,Thu,02/07/2019,1618,CENTRAL PARK,,0,0,
19000990,Thu,02/07/2019,1524,HOWARD,,0,0,
19000996,Thu,02/07/2019,1702,DEMPSTER,,0,0,
19000942,Wed,02/06/2019,753,EMERSON,E,0,0,
19000955,Wed,02/06/2019,1329,OAKTON ST,,0,0,
19000943,Wed,02/06/2019,848,LAKE ST,,0,0,
19000968,Wed,02/06/2019,2101,HOWARD ST,,0,0,
19000911,Tue,02/05/2019,952,DEMPSTER ST,W,0,0,
19000960,Tue,02/05/2019,1501,FLORENCE,,0,0,
19000925,Tue,02/05/2019,1430,DEWEY AV,,0,0,
19000931,Tue,02/05/2019,1822,CHICAGO,,0,0,
19001019,Tue,02/05/2019,1640,DEMPSTER ST,,0,0,
19001094,Tue,02/05/2019,1830,CHURCH ST,,0,0,
19000887,Mon,02/04/2019,1204,RIDGE AVE,,0,0,
19000882,Mon,02/04/2019,934,BROWN,,0,0,
19000866,Sun,02/03/2019,1212,OAKTON ST,,0,0,
19000874,Sun,02/03/2019,1641,DEMPSTER,,0,0,
19000873,Sun,02/03/2019,1634,SHERMAN,,0,0,
19000843,Sat,02/02/2019,1137,SHERMAN,,0,0,
19000847,Sat,02/02/2019,1312,CUSTER AVE,,0,0,
19000849,Sat,02/02/2019,1343,DAVIS,W,0,0,
19000851,Sat,02/02/2019,1415,MAIN ST,,0,0,
19000852,Sat,02/02/2019,1405,DOBSON,,0,0,
19000853,Sat,02/02/2019,1500,CHICAGO,,0,0,
19000857,Sat,02/02/2019,1906,OAKTON,,0,0,
19001568,Sat,02/02/2019,1457,BENSON,,0,0,
19000845,Sat,02/02/2019,1226,ASHLAND AV,N,0,0,
19000844,Sat,02/02/2019,1214,SHERMAN AVE,,0,0,
19000815,Fri,02/01/2019,1525,CHURCH,,0,0,
19000819,Fri,02/01/2019,1620,CUSTER AV,,0,0,
19000803,Fri,02/01/2019,823,ASBURY AV,,0,0,
19000805,Fri,02/01/2019,841,HARTREY AV,,0,0,
19000808,Fri,02/01/2019,1108,CHICAGO AV,,0,0,
19000964,Fri,02/01/2019,1700,RIDGE,,0,0,
19000811,Fri,02/01/2019,1213,HARRISON ST,,0,0,
19000823,Fri,02/01/2019,1729,DODGE AV,,0,0,
19000810,Fri,02/01/2019,1010,CHICAGO AV,,0,0,
19000814,Fri,02/01/2019,1447,EMERSON,,0,0,
19000791,Thu,01/31/2019,1549,RIDGE,,0,0,
19000785,Thu,01/31/2019,902,EMERSON ST,,0,0,
19000798,Thu,01/31/2019,1925,DEMPSTER,,0,0,
19000797,Thu,01/31/2019,2031,CHICAGO AV,,0,0,
19000796,Thu,01/31/2019,2033,LAKE ST,,0,0,
19000788,Thu,01/31/2019,1215,DAVIS,,0,0,
19000799,Thu,01/31/2019,2059,CHURCH ST,,0,0,
19000766,Wed,01/30/2019,721,OAKTON ST,,0,0,
19000772,Wed,01/30/2019,1334,GROSS POINT RD,,0,0,
19000773,Wed,01/30/2019,1624,CHICAGO AV,,0,0,
19000774,Wed,01/30/2019,1800,HOWARD,,0,0,
19000749,Tue,01/29/2019,1131,CHURCH ST,N,0,0,
19000758,Tue,01/29/2019,1756,ELMWOOD AV,,0,0,
19000756,Tue,01/29/2019,1400,MAIN ST,,0,0,
19000755,Tue,01/29/2019,1619,OAK,,0,0,
19000747,Tue,01/29/2019,940,LEMAR STREET,,0,0,
19000745,Tue,01/29/2019,1010,DEMPSTER ST,,0,0,
19000744,Tue,01/29/2019,936,LEMAR STREET,,0,0,
19000722,Mon,01/28/2019,1418,GREY,,0,0,
19000714,Mon,01/28/2019,810,CLARK STREET,,0,0,
19000721,Mon,01/28/2019,1455,NOYES,,0,0,
19000735,Mon,01/28/2019,2248,MULFORD ST,,0,0,
19000730,Mon,01/28/2019,1734,NOYES ST,,0,0,
19000726,Mon,01/28/2019,1550,1710 CENTRAL ST,,0,0,
19000724,Mon,01/28/2019,1502,DEMPSTER ST,,0,0,
19000685,Sun,01/27/2019,530,ASBURY,,0,0,
19000701,Sun,01/27/2019,1837,NATHANIEL PL,W,0,0,
19000691,Sun,01/27/2019,1324,SHERMAN AV,N,0,0,
19000688,Sun,01/27/2019,1127,NOYES CT,,0,0,
19000677,Sat,01/26/2019,2026,OAKTON,,0,0,
19000678,Sat,01/26/2019,2152,DEMPSTER ST,,0,0,
19000661,Sat,01/26/2019,1111,PRAIRIE ST,,0,0,
19000668,Sat,01/26/2019,1323,OAKTON ST,,0,0,
19000657,Sat,01/26/2019,938,DEMPSTER ST,,0,0,
19000658,Sat,01/26/2019,1007,ASBURY AV,,0,0,
19000673,Sat,01/26/2019,1752,WOODBINE,,0,0,
19000634,Fri,01/25/2019,823,CENTRAL ST,,0,0,
19000650,Fri,01/25/2019,1651,RIDGE,,0,0,
19000644,Fri,01/25/2019,1505,RIDGE,,0,0,
19000641,Fri,01/25/2019,1307,OAKTON ST,,0,0,
19000629,Fri,01/25/2019,753,DODGE AV,,0,0,
19000612,Thu,01/24/2019,1505,CLEVELAND,,0,0,
19000604,Thu,01/24/2019,632,DODGE AV,,0,0,
19000620,Thu,01/24/2019,1804,UNIVERSITY,W,0,0,
19000622,Thu,01/24/2019,1845,ASHLAND AV,,0,0,
19000613,Thu,01/24/2019,1415,RIDGE,,0,0,
19000614,Thu,01/24/2019,1538,HARTREY AV,,0,0,
19000615,Thu,01/24/2019,1545,ASBURY AV,,0,0,
19000593,Wed,01/23/2019,1629,MAIN ST,,0,0,
19000590,Tue,01/22/2019,2300,HINMAN AV,,0,0,
19000569,Tue,01/22/2019,810,ASBURY,,0,0,
19000568,Tue,01/22/2019,1425,MAIN,,0,0,
19000572,Tue,01/22/2019,1550,RIDGE AV,,0,0,
19000574,Tue,01/22/2019,1616,RIDGE AV,,0,0,
19000576,Tue,01/22/2019,1721,DEMPSTER,,0,0,
19000583,Tue,01/22/2019,2326,HOWARD ST,,0,0,
19000545,Mon,01/21/2019,1911,ASBURY AV,,0,0,
19000537,Mon,01/21/2019,1228,FOSTER ST,,0,0,
19000553,Mon,01/21/2019,2357,HOWARD ST/CUSTER AV,,0,0,
19000533,Sun,01/20/2019,1900,DOBSON,,0,0,
19000532,Sun,01/20/2019,2122,HOWARD,,0,0,
19000502,Sat,01/19/2019,1105,MILBURN ST,W,0,0,76
19000510,Sat,01/19/2019,1728,HULL TER,,0,0,
19000503,Sat,01/19/2019,900,AUSTIN,,0,0,
19000497,Fri,01/18/2019,2110,CHURCH,,0,0,
19000476,Fri,01/18/2019,1209,CHICAGO AV,,0,0,
19000490,Fri,01/18/2019,1737,OAKTON ST,E,0,0,
19000472,Fri,01/18/2019,1121,LAKE ST,,0,0,
19000443,Thu,01/17/2019,1842,CHICAGO AV,,0,0,
19000425,Thu,01/17/2019,750,GREENWOOD ST,,0,0,
19000424,Thu,01/17/2019,734,SHERIDAN RD,,0,0,
19000453,Thu,01/17/2019,2302,HOWARD,,0,0,
19000449,Thu,01/17/2019,2044,ASBURY,E,0,0,
19000441,Thu,01/17/2019,1818,CHURCH ST,,0,0,
19000419,Wed,01/16/2019,2052,DAVIS,,0,0,
19000415,Wed,01/16/2019,1555,CRAWFORD AV,,0,0,
19000413,Wed,01/16/2019,1459,DAVIS ST,,0,0,
19000403,Wed,01/16/2019,900,CUSTER AV,N,0,0,
19000395,Tue,01/15/2019,1840,RIDGE,,0,0,
19000387,Tue,01/15/2019,1611,CENTRAL,,0,0,
19000388,Tue,01/15/2019,1747,RIDGE AV,,0,0,
19000392,Tue,01/15/2019,1824,CHICAGO AV,,0,0,
19000393,Tue,01/15/2019,1834,DAVIS ST,,0,0,
19000406,Tue,01/15/2019,2030,MAPLE AV,,0,0,
19000376,Tue,01/15/2019,724,EMERSON ST,,0,0,
19000385,Tue,01/15/2019,1540,SHERMAN AV,,0,0,
19000356,Mon,01/14/2019,922,LEE ST,,0,0,
19000355,Mon,01/14/2019,955,EMERSON,,0,0,
19000341,Sun,01/13/2019,1420,OAKTON ST,,0,0,
19000332,Sun,01/13/2019,800,RIDGE AV,,0,0,
19000333,Sun,01/13/2019,900,GROSS POINT RD,,0,0,
19000347,Sun,01/13/2019,1945,LINCOLNWOOD DR,,0,0,
19000329,Sat,01/12/2019,2112,ORRINGTON AV,,0,0,
19000335,Sat,01/12/2019,1430,CRAWFORD AV,,0,0,
19000323,Sat,01/12/2019,1639,JUDSON AV,,0,0,
19000319,Sat,01/12/2019,1458,KEDZIE,N,0,0,
19000317,Sat,01/12/2019,1405,SHERIDAN RD,,0,0,
19000315,Sat,01/12/2019,1447,CENTRAL ST,,0,0,
19000314,Sat,01/12/2019,1421,CHURCH ST,,0,0,
19000313,Sat,01/12/2019,1434,DEMPSTER,,0,0,
19000312,Sat,01/12/2019,1355,LINCOLN ST,,0,0,
19000306,Sat,01/12/2019,808,EMERSON ST,E,0,0,
19000305,Sat,01/12/2019,727,MCCORMICK BL,,0,0,
19000283,Fri,01/11/2019,1435,PITNER AV,,0,0,
19000290,Fri,01/11/2019,1808,CHURCH ST,,0,0,
19000272,Fri,01/11/2019,1015,GROVE ST,,0,0,
19000279,Fri,01/11/2019,1339,MAIN,,0,0,
19000294,Fri,01/11/2019,2022,DEMPSTER ST,,0,0,
19000301,Fri,01/11/2019,2237,DEMPSTER ST,,0,0,
19000235,Thu,01/10/2019,545,DODGE AV,,0,0,
19000249,Thu,01/10/2019,1307,CENTRAL ST,E,0,0,
19000266,Thu,01/10/2019,300,ELMWOOD AVE,,0,0,
19000250,Thu,01/10/2019,1334,3200 GRANT ST,S,0,0,
19000254,Thu,01/10/2019,1633,RIDGE AV,,0,0,
19000216,Wed,01/09/2019,1638,DEMPSTER,N,0,0,
19000232,Wed,01/09/2019,2030,PITNER,,0,0,
19000218,Wed,01/09/2019,1725,FOREST AV,,0,0,
19000198,Wed,01/09/2019,905,OAKTON,,0,0,
19000214,Wed,01/09/2019,1600,MCCORMICK,,0,0,
19000219,Wed,01/09/2019,1735,ASBURY,,0,0,
19000185,Tue,01/08/2019,1719,RIDGE AV,,0,0,
19000174,Tue,01/08/2019,1103,RIDGE AV,,0,0,
19000181,Tue,01/08/2019,1434,MAIN,,0,0,
19000150,Mon,01/07/2019,1102,CHURCH ST,,0,0,
19000152,Mon,01/07/2019,1147,CENTRAL ST,,0,0,
19000153,Mon,01/07/2019,1216,DODGE AV,,0,0,
19000127,Sun,01/06/2019,1019,ASBURY,,0,0,
19000131,Sun,01/06/2019,1100,BENSON AV,,0,0,
19000135,Sun,01/06/2019,1428,SHERIDAN PL,,0,0,
19000130,Sun,01/06/2019,1300,OAKTON ST,,0,0,
19000103,Sat,01/05/2019,1253,CHURCH,,0,0,
19000182,Sat,01/05/2019,2000,SHERIDAN,,0,0,
19000102,Sat,01/05/2019,1245,DEMPSTER ST,,0,0,
19000101,Sat,01/05/2019,1159,ORRINGTON,,0,0,
19000077,Fri,01/04/2019,1414,CENTRAL,,0,0,
19000070,Fri,01/04/2019,1003,MCDANIEL AV,,0,0,
19000069,Fri,01/04/2019,856,DAVIS ST,,0,0,
19000164,Fri,01/04/2019,1300,BRUMMEL ST,,0,0,
19000080,Fri,01/04/2019,1509,HOWARD,E,0,0,
19000076,Fri,01/04/2019,1140,DEMPSTER,,0,0,
19000051,Thu,01/03/2019,1510,CHICAGO,,0,0,
19000050,Thu,01/03/2019,1402,ELGIN,,0,0,
19000058,Thu,01/03/2019,1859,EMERSON,,0,0,
19000031,Wed,01/02/2019,1505,ASBURY AV,,0,0,
19000038,Wed,01/02/2019,1640,OAKTON,,0,0,
19000011,Tue,01/01/2019,1527,GREENBAY RD,,0,0,
19000009,Tue,01/01/2019,1138,CHICAGO AV,,0,0,
19000007,Tue,01/01/2019,324,SHERMAN AV,,0,0,
19000003,Tue,01/01/2019,49,DARROW,,0,0,77
19000039,Mon,12/31/2018,1750,SHERMAN AV,,0,0,
19000013,Mon,12/31/2018,1955,DODGE AV,,0,0,
18011634,Mon,12/31/2018,1815,RIDGE AV,S,0,0,
18011632,Mon,12/31/2018,1656,HOWARD ST,E,0,0,
18011616,Mon,12/31/2018,411,DEMPSTER,,0,0,
18011605,Sun,12/30/2018,1917,RIDGE AV,,0,0,
18011561,Sat,12/29/2018,1200,CENTRAL ST,,0,0,
18011553,Sat,12/29/2018,755,DEMPSTER ST,,0,0,
18011563,Sat,12/29/2018,1320,HOWARD ST,,0,0,
18011574,Sat,12/29/2018,1755,GREENWOOD ST,,0,0,
18011579,Sat,12/29/2018,2113,HINMAN AV,,0,0,
18011582,Sat,12/29/2018,2355,MICHIGAN AV,,0,0,
18011583,Sat,12/29/2018,2348,ELMWOOD,,0,0,
18011535,Fri,12/28/2018,1034,CHICAGO AVE,,0,0,
18011530,Thu,12/27/2018,2132,DEMPSTER ST/,,0,0,
18011510,Thu,12/27/2018,1201,EWING AV,,0,0,
18011520,Thu,12/27/2018,1843,DEMPSTER,,0,0,
18011523,Thu,12/27/2018,1920,HARTREY AV,,0,0,
18011526,Thu,12/27/2018,1951,ELMWOOD AV,,0,0,
18011489,Wed,12/26/2018,1300,CENTRAL,,0,0,
18011493,Wed,12/26/2018,1555,LEONARD PL,,0,0,
18011492,Wed,12/26/2018,1536,DODGE AV,,0,0,
18011507,Tue,12/25/2018,1300,DEMPSTER ST,,0,0,
18011474,Tue,12/25/2018,1833,CENTRAL ST,,0,0,
18011440,Mon,12/24/2018,224,DODGE AV,,0,0,
18011458,Mon,12/24/2018,1514,MAPLE AV,,0,0,
18011454,Mon,12/24/2018,1216,DEMPSTER,,0,0,
18011450,Mon,12/24/2018,1240,GREEN BAY RD,N,0,0,
18011447,Mon,12/24/2018,914,SIMPSON ST,,0,0,
18011445,Mon,12/24/2018,808,MAIN ST,,0,0,
18011423,Sun,12/23/2018,1639,LEMAR,,0,0,
18011421,Sun,12/23/2018,1459,OAKTON ST,,0,0,
18011449,Sun,12/23/2018,1600,DEWEY AV,,0,0,
18011426,Sun,12/23/2018,1630,MAIN ST,,0,0,
18011407,Sat,12/22/2018,2348,GREENLEAF/DEWEY,,0,0,
18011397,Sat,12/22/2018,1640,HOWARD ST,,0,0,
